Word	Annotation	Sense	Part of Speech	Level	English	Russian
Party	die Party, -s		die	A1	party	вечеринка
Wellenlänge	die Wellenlänge, -n		die	B2+	wavelength	длина волны
Anhänger	der Anhänger, -		der	B2+	pendant, supporter, trailer	кулон; сторонник; прицеп
betrieblich	betrieblich		adj	B2+	operational	производственный
Finanzierung	die Finanzierung, -en		die	B2+	financing	финансирование
Inflation	die Inflation, -en		die	B2+	inflation	инфляция
murmeln, murmelt, murmelte, hat gemurmelt	murmeln, murmelt, murmelte, hat gemurmelt		verb	B2+	to mumble, mutter	бормотать
Plattform	die Plattform, -en		die	B2+	platform	платформа
dominieren, dominiert, dominierte, hat dominiert	dominieren, dominiert, dominierte, hat dominiert		verb	B2+	to dominate	доминировать
einräumen, räumt ein, räumte ein, hat eingeräumt	einräumen, räumt ein, räumte ein, hat eingeräumt		verb	B2+	to put away, admit, concede	укладывать; признавать; предоставлять
herausstellen, stellt heraus, stellte heraus, hat herausgestellt	herausstellen (sich), stellt heraus, stellte heraus, hat herausgestellt		verb	B2+	to emphasize, turn out	выясняться
Kleidung	die Kleidung, -en		die	A1	clothes	одежда
vereinen, vereint, vereinte, hat vereint	vereinen, vereint, vereinte, hat vereint		verb	B2+	to unite	объединять
Bundesrat	der Bundesrat, -̈e		der	B2+	Bundesrat	бундесрат
abbrechen, bricht ab, brach ab, hat abgebrochen	abbrechen, bricht ab, brach ab, hat abgebrochen		verb	B2+	to break off, stop	прекращать
Aufklärung	die Aufklärung, -en		die	B2+	enlightenment, solution	раскрытие
auskommen, kommt aus, kam aus, ist ausgekommen	auskommen, kommt aus, kam aus, ist ausgekommen		verb	B2+	to get by, get on, manage	обходиться
denkbar	denkbar		adj	B2+	conceivable	мыслимый
Fernseher	der Fernseher, -		der	A2	television	телевизор
Italiener	der Italiener, -		der	B2+	Italian	итальянец
mangeln, mangelt, mangelte, hat gemangelt	mangeln, mangelt, mangelte, hat gemangelt		verb	B2+	to lack, be missing	недоставать
Schönheit	die Schönheit, -en		die	B2+	beauty	красота
verarbeiten, verarbeitet, verarbeitete, hat verarbeitet	verarbeiten, verarbeitet, verarbeitete, hat verarbeitet		verb	B2+	to use, process, assimilate	перерабатывать
verkünden, verkündet, verkündete, hat verkündet	verkünden, verkündet, verkündete, hat verkündet		verb	B2+	to announce	объявлять
Dänemark	Dänemark		das	B2+	Denmark	Дания
dazwischen	dazwischen		pron	B2+	in between, between (them), among (them)	между
einsteigen, steigt ein, stieg ein, ist eingestiegen	einsteigen, steigt ein, stieg ein, ist eingestiegen		verb	A1	to board, get in	садиться
Tibet	Tibet		das	B2+	Tibet	Тибет
Webseite	die Webseite, -n		die	A2	website	вебсайт
widersprechen, widerspricht, widersprach, hat widersprochen	widersprechen, widerspricht, widersprach, hat widersprochen		verb	B1	to contradict	возражать
Besitzer	der Besitzer, -		der	B2+	owner	владелец
japanisch	japanisch		adj, das	B2+	Japanese; Japanese	японский
ärgern, ärgert, ärgerte, hat geärgert	ärgern, ärgert, ärgerte, hat geärgert		verb	A2	to annoy	раздражать
Persönlichkeit	die Persönlichkeit, -en		die	B2+	personality, celebrity	личность
Truppe	die Truppe, -n		die	B2+	troops, unit	компания
ausdrücklich	ausdrücklich		adj	B2+	explicit	выразительный
Einschätzung	die Einschätzung, -en		die	B2+	opinion, assessment, evaluation	оценка
funktionell	funktionell		adj	B2+	functional	функциональный
Gewebe	das Gewebe, -		das	B2+	fabric, tissue	ткань
Resultat	das Resultat, -e		das	B2+	result	результат
Verwandte	die Verwandte		der, die	A1	relative	родственник
Anordnung	die Anordnung, -en		die	B2+	order	распоряжение
aufwachen, wacht auf, wachte auf, ist aufgewacht	aufwachen, wacht auf, wachte auf, ist aufgewacht		verb	B1	to wake up	просыпаться
Kasse	die Kasse, -n		die	A1	cash register, checkout	касса
Schulden	Schulden		die (pl)	B1	debt	долг
Hinblick	der Hinblick		der	B2+	view	отношение
Last	die Last, -en		die	B2+	load, burden	бремя
Zuhause	das Zuhause		das, adv	B1	home; at home	дом; дома
einheitlich	einheitlich		adj	B1	uniform, standardized	единый
fünfzehn	fünfzehn		num	B2+	fifteen	пятнадцать
überschreiten, überschreitet, überschritt, hat überschritten	überschreiten, überschreitet, überschritt, hat überschritten		verb	B2+	to exceed	превышать
Version	die Version, -en		die	B2+	version	версия
Zunge	die Zunge, -n		die	B2+	tongue	язык
dänisch	dänisch		adj, das	B2+	Danish; Danish	датский
Einladung	die Einladung, -en		die	A1	invitation	приглашение
Vielzahl	die Vielzahl		die	B2+	multitude	множество
Arbeitgeber	der Arbeitgeber, -		der	B2+	employer	работодатель
Höhle	die Höhle, -n		die	B2+	cave	пещера
Lücke	die Lücke, -n		die	B2+	gap	пропуск
mehrmals	mehrmals		adv	B2+	repeatedly	неоднократно
subjektiv	subjektiv		adj	B2+	subjective	субъективный
unangenehm	unangenehm		adj	B2+	unpleasant	неприятный
Wirtschaftsforum	das Wirtschaftsforum, -s		das	B2+	economic forum	экономический форум
Angelegenheit	die Angelegenheit, -en		die	B2+	matter, affair	дело
charakteristisch	charakteristisch		adj	B2+	characteristic	характерный
Einnahme	die Einnahme, -n		die	B1	income, receipts, revenue	доход
Islam	der Islam, -e		der	B2+	Islam	ислам
basieren, basiert, basierte, hat basiert	basieren, basiert, basierte, hat basiert		verb	B2+	to be based on	основываться
einkaufen, kauft ein, kaufte ein, hat eingekauft	einkaufen, kauft ein, kaufte ein, hat eingekauft		verb	A1	to shop	покупать
eintragen, trägt ein, trug ein, hat eingetragen	eintragen, trägt ein, trug ein, hat eingetragen		verb	A2	to enter, record, register	записывать
Vortrag	der Vortrag, -̈e		der	B1	lecture	лекция
Zelt	das Zelt, -e		das	A2	tent	палатка
zusammensetzen, setzt zusammen, setzte zusammen, hat zusammengesetzt	zusammensetzen, setzt zusammen, setzte zusammen, hat zusammengesetzt		verb	B2+	to put together	собирать
bedanken, bedankt, bedankte, hat bedankt	bedanken (sich), bedankt, bedankte, hat bedankt		verb	A2	to thank	благодарить
Brille	die Brille, -n		die	A2	glasses	очки
Sammlung	die Sammlung, -en		die	B2+	collection	коллекция
verschließen, verschließt, verschloss, hat verschlossen	verschließen, verschließt, verschloss, hat verschlossen		verb	B2+	to close, lock	запирать
Entwurf	der Entwurf, -̈e		der	B2+	sketch, design, draft	проект
seither	seither		adv	B2+	since then	с тех пор
ansagen, sagt an, sagte an, hat angesagt	ansagen, sagt an, sagte an, hat angesagt		verb	B2+	to announce	объявлять
hemmen, hemmt, hemmte, hat gehemmt	hemmen, hemmt, hemmte, hat gehemmt		verb	B2+	to inhibit, hinder	тормозить
Intelligenz	die Intelligenz, -en		die	B1	intelligence	интеллект
senkrecht	senkrecht		adj	B1	vertical	вертикальный
dringen, dringt, drang, ist gedrungen	dringen, dringt, drang, ist gedrungen		verb	B2+	to press, insist	настаивать
Migrant	der Migrant, -en		der	B1	migrant	мигрант
probieren, probiert, probierte, hat probiert	probieren, probiert, probierte, hat probiert		verb	A2	to try	пробовать
Turnier	das Turnier, -e		das	B2+	tournament	турнир
verschaffen, verschafft, verschaffte, hat verschafft	verschaffen, verschafft, verschaffte, hat verschafft		verb	B2+	to provide	предоставлять
Volkswirtschaft	die Volkswirtschaft, -en		die	B2+	national economy	экономика
bearbeiten, bearbeitet, bearbeitete, hat bearbeitet	bearbeiten, bearbeitet, bearbeitete, hat bearbeitet		verb	B2+	to edit, work on	обрабатывать
flexibel	flexibel		adj	B1	flexible	гибкий
hierfür	hierfür		pron	B2+	for this, for it	для этого
mobil	mobil		adj	B1	mobile	мобильный
Übersetzer	der Übersetzer, -		der	B1	translator	переводчик
wodurch	wodurch		pron	B2+	how, which	посредством чего
zusagen, sagt zu, sagte zu, hat zugesagt	zusagen, sagt zu, sagte zu, hat zugesagt		verb	B1	to promise, accept	соглашаться
Buchstabe	der Buchstabe, -n		der	A1	letter	буква
verdanken, verdankt, verdankte, hat verdankt	verdanken, verdankt, verdankte, hat verdankt		verb	B2+	to owe, have sb to thank for sth	быть обязанным
vierzig	vierzig		num	B2+	forty	сорок
Vordergrund	der Vordergrund, -̈e		der	B2+	foreground	передний план
Reiz	der Reiz, -e		der	B2+	stimulus, appeal	раздражитель; очарование; привлекательность
verständlich	verständlich		adj	B1	comprehensible	понятный
Wahlkampf	der Wahlkampf, -̈e		der	B2+	election campaign	избирательная кампания
flüssig	flüssig		adj	B2+	liquid	жидкий
Sturm	der Sturm, -̈e		der	B1	storm	шторм
Akteur	der Akteur, -e		der	B2+	player, actor	актер
entnehmen, entnimmt, entnahm, hat entnommen	entnehmen, entnimmt, entnahm, hat entnommen		verb	B2+	to take from, remove, withdraw, infer	извлекать
räumen, räumt, räumte, hat geräumt	räumen, räumt, räumte, hat geräumt		verb	B2+	to clear	освобождать
konsequent	konsequent		adj	B2+	consistent	последовательный
bekämpfen, bekämpft, bekämpfte, hat bekämpft	bekämpfen, bekämpft, bekämpfte, hat bekämpft		verb	B2+	to fight, combat	бороться
Gehalt	der Gehalt, -e		das, der	A2	salary; meaning, contents	зарплата; содержание
indes	indes		adv	B2+	meanwhile	тем временем
Motto	das Motto, -s		das	B2+	motto	девиз
Philosophie	die Philosophie, -n		die	B2+	philosophy	философия
Sender	der Sender, -		der	B1	broadcasting station	телеканал
Talent	das Talent, -e		das	B1	talent	талант
extra	extra		adv	B1	separately, extra	особо
Fleck	der Fleck, -e		der	B1	stain	пятно
fressen, frisst, fraß, hat gefressen	fressen, frisst, fraß, hat gefressen		verb	B1	to eat	есть
Klage	die Klage, -n		die	B2+	complaint, lawsuit	иск
anfangs	anfangs		adv	B1	initially, at first	сначала
Beratung	die Beratung, -en		die	B1	advice, discussion, consultation	консультация
Gestaltung	die Gestaltung, -en		die	B2+	design, organization	оформление
katholisch	katholisch		adj	B2+	Catholic	католический
merkwürdig	merkwürdig		adj	B1	strange	странный
bedecken, bedeckt, bedeckte, hat bedeckt	bedecken, bedeckt, bedeckte, hat bedeckt		verb	B2+	to cover	покрывать
Kuh	die Kuh, -̈e		die	B2+	cow	корова
verknüpfen, verknüpft, verknüpfte, hat verknüpft	verknüpfen, verknüpft, verknüpfte, hat verknüpft		verb	B2+	to tie	связывать
Vorgehen	das Vorgehen		das	B2+	action, approach	подход
drüben	drüben		adv	A2	over there	там
erschießen, erschießt, erschoss, hat erschossen	erschießen, erschießt, erschoss, hat erschossen		verb	B2+	to shoot	застрелить
Nutzer	der Nutzer, -		der	B2+	user	пользователь
Stabilität	die Stabilität		die	B2+	stability	стабильность
verringern, verringert, verringerte, hat verringert	verringern, verringert, verringerte, hat verringert		verb	B2+	to reduce	уменьшать
juristisch	juristisch		adj	B2+	legal, juridical	юридический
peinlich	peinlich		adj	B1	embarrassing	неловкий
Anstrengung	die Anstrengung, -en		die	B2+	effort	усилие
Nationalsozialist	der Nationalsozialist, -en (Nazi)		der	B2+	National Socialist, Nazi	нацист
rechtfertigen, rechtfertigt, rechtfertigte, hat gerechtfertigt	rechtfertigen, rechtfertigt, rechtfertigte, hat gerechtfertigt		verb	B2+	to justify	оправдывать
Zitat	das Zitat, -e		das	B2+	quotation, quote	цитата
Anpassung	die Anpassung, -en		die	B2+	adaptation	адаптация
kaputt	kaputt		adj	A1	broken, ruined	сломанный
Menschheit	die Menschheit		die	B2+	humanity	человечество
Note	die Note, -n		die	A2	note, grade	оценка
seufzen, seufzt, seufzte, hat geseufzt	seufzen, seufzt, seufzte, hat geseufzt		verb	B2+	to sigh	вздыхать
Achtung	die Achtung		die	A1	respect	уважение
ausgleichen, gleicht aus, glich aus, hat ausgeglichen	ausgleichen, gleicht aus, glich aus, hat ausgeglichen		verb	B2+	to even out, reconcile	выравнивать
Pilot	der Pilot, -en		der	B2+	pilot	пилот
Vereinbarung	die Vereinbarung, -en		die	B2+	agreement	соглашение
aufbrechen, bricht auf, brach auf, hat aufgebrochen	aufbrechen, bricht auf, brach auf, hat aufgebrochen		verb	B2+	to leave, take off, break open	отправляться; взламывать; раскалываться
Labor	das Labor, -e		das	B2+	laboratory	лаборатория
voraussetzen, setzt voraus, setzte voraus, hat vorausgesetzt	voraussetzen, setzt voraus, setzte voraus, hat vorausgesetzt		verb	B2+	to presuppose, take for granted	предполагать
divers	divers		adj	B2+	diverse, various	различный
Höhepunkt	der Höhepunkt, -e		der	B2+	highlight, peak	кульминация
Wiese	die Wiese, -n		die	B1	meadow	луг
Anerkennung	die Anerkennung, -en		die	B2+	recognition	признание
ausgeprägt	ausgeprägt		adj	B2+	distinct, pronounced, remarkable	выраженный
Autobahn	die Autobahn, -en		die	A1	expressway, motorway	автомагистраль
Formulierung	die Formulierung, -en		die	B2+	formulation	формулировка
Berücksichtigung	die Berücksichtigung, -en		die	B2+	consideration	учет
dementsprechend	dementsprechend		adj	B2+	accordingly	соответствующий
Schreck	der Schreck, -e		der	B1	fright, shock	испуг
Weihnachten	das Weihnachten, -		das, die (pl)	B2+	Christmas	рождество
Anschluss	der Anschluss, -̈e		der	A1	connection	продолжение
entziehen, entzieht, entzog, hat entzogen	entziehen, entzieht, entzog, hat entzogen		verb	B2+	to take away, remove, draw	отнимать
Reduktion	die Reduktion, -en		die	B2+	reduction	сокращение
Schwein	das Schwein, -e		das	A2	pig	свинья
Komplex	der Komplex, -e		der	B2+	complex	комплекс
sofern	sofern		conj	B2+	provided that, if	поскольку
anstreben, strebt an, strebte an, hat angestrebt	anstreben, strebt an, strebte an, hat angestrebt		verb	B2+	to aim at, strive (for), aspire to	стремиться
beklagen, beklagt, beklagte, hat beklagt	beklagen, beklagt, beklagte, hat beklagt		verb	B2+	to complain	жаловаться
einigen, einigt, einigte, hat geeinigt	einigen, einigt, einigte, hat geeinigt		verb	B1	to unite, agree	договариваться
Freundschaft	die Freundschaft, -en		die	B1	friendship	дружба
Hütte	die Hütte, -n		die	B1	hut, cabin	хижина
Mantel	der Mantel, -̈		der	A2	coat	пальто
Prognose	die Prognose, -n		die	B2+	prognosis, forecast	прогноз
zugehörig	zugehörig		adj	B2+	belonging, corresponding	соответствующий
analytisch	analytisch		adj	B2+	analytic	аналитический
Anliegen	das Anliegen, -		das	B2+	request	просьба
locker	locker		adj	B1	loose, relaxed	свободный
sonstig	sonstig		adj	B2+	other	прочий
abwarten, wartet ab, wartete ab, hat abgewartet	abwarten, wartet ab, wartete ab, hat abgewartet		verb	B2+	to wait, wait out	дожидаться
bitter	bitter		adj	A1	bitter	горький
permanent	permanent		adj	B2+	permanent	постоянный
Abkommen	das Abkommen, -		das	B2+	agreement	соглашение
Abstimmung	die Abstimmung, -en		die	B2+	vote, coordination	голосование; согласование; координация
Geschmack	der Geschmack, -̈e		der	B1	taste	вкус
nachfolgen, folgt nach, folgte nach, ist nachgefolgt	nachfolgen, folgt nach, folgte nach, ist nachgefolgt		verb, adj	B2+	to follow, succeed; following, subsequently	сменять; следующий
neigen, neigt, neigte, hat geneigt	neigen, neigt, neigte, hat geneigt		verb	B2+	to bend, lean	наклоняться
Rente	die Rente, -n		die	B1	pension, retirement	пенсия
Taxi	das Taxi, -s		das	A1	taxi	такси
vorhin	vorhin		adv	B1	a short time ago	недавно
Zusammenfassung	die Zusammenfassung, -en		die	B2+	summary	резюме
Disziplin	die Disziplin, -en		die	B2+	discipline	дисциплина
Aufstieg	der Aufstieg, -e		der	B2+	climb, rise	подъем
keinerlei	keinerlei		pron	B2+	no . . . at all	никакой
Mond	der Mond, -e		der	B1	moon	луна
professionell	professionell		adj	B2+	professional	профессиональный
Semester	das Semester, -		das	B1	semester	семестр
Gastgeber	der Gastgeber, -		der	B2+	host	хозяин
hinein	hinein		adv	B2+	in, into	внутрь
kinetisch	kinetisch		adj	B2+	kinetic	кинетический
Skript	das Skript, -e		das	B2+	script, lecture notes	сценарий; конспект; скрипт
vertreiben, vertreibt, vertrieb, hat vertrieben	vertreiben, vertreibt, vertrieb, hat vertrieben		verb	B2+	to drive out, sell	пропагандировать
zugänglich	zugänglich		adj	B1	accessible	доступный
zurzeit	zurzeit		adv	A1	at the moment	сейчас; в настоящее время; в данное время
versterben, verstirbt, verstarb, ist verstorben	versterben, verstirbt, verstarb, ist verstorben		verb	B2+	to pass away	умирать
zurückhalten, hält zurück, hielt zurück, hat zurückgehalten	zurückhalten, hält zurück, hielt zurück, hat zurückgehalten		verb	B2+	to hold back, restrain	сдерживать
Abweichung	die Abweichung, -en		die	B2+	difference, deviation, tolerance	отклонение
aufsetzen, setzt auf, setzte auf, hat aufgesetzt	aufsetzen, setzt auf, setzte auf, hat aufgesetzt		verb	B2+	to put on	надевать
langweilig	langweilig		adj	A2	boring	скучный
nachgehen, geht nach, ging nach, ist nachgegangen	nachgehen, geht nach, ging nach, ist nachgegangen		verb	B2+	to follow, pursue, be slow	отставать
schief	schief		adj	B1	crooked, not straight	кривой
Wange	die Wange, -n		die	B2+	cheek	щека
Champion	der Champion, -s		der	B2+	champion	чемпион
Horizont	der Horizont, -e		der	B2+	horizon	горизонт
Intensität	die Intensität, -en		die	B2+	intensity	интенсивность
korrigieren, korrigiert, korrigierte, hat korrigiert	korrigieren, korrigiert, korrigierte, hat korrigiert		verb	B1	to correct, revise	исправлять
Linke	die Linke		die	B2+	left-wing party, Left Party	левые
neunzig	neunzig		num	B2+	ninety	девяносто
Sänger	der Sänger, -		der	B1	singer	певец
Symptom	das Symptom, -e		das	B2+	symptom	симптом
einig	einig		adj	A2	agreed	согласный
Auffassung	die Auffassung, -en		die	B2+	point of view	мнение
herum	herum		prep	B2+	around	вокруг
Kunstwerk	das Kunstwerk, -e		das	B2+	work of art	произведение искусства
Ministerium	das Ministerium, -en		das	B2+	ministry, department	министерство
Österreicher	der Österreicher, -		der	B2+	Austrian	австриец
stellvertretend	stellvertretend		adj	B2+	on behalf	от имени
Ursprung	der Ursprung, -̈e		der	B2+	origin	происхождение
mündlich	mündlich		adj	B1	oral	устный
neugierig	neugierig		adj	B1	curious	любопытный
jagen, jagt, jagte, hat gejagt	jagen, jagt, jagte, hat gejagt		verb	B2+	to hunt	охотиться
Schwäche	die Schwäche, -n		die	B2+	weakness	слабость
Minus	das Minus, -se		das	B2+	minus, deficit	минус
Eisen	das Eisen, -		das	B2+	iron	железо
Iran	Iran		der	B2+	Iran	Иран
Besonderheit	die Besonderheit, -en		die	B2+	idiosyncracy, (special) feature, unique characteristic	особенность
Fett	das Fett, -e		das	A2	fat	жир
lenken, lenkt, lenkte, hat gelenkt	lenken, lenkt, lenkte, hat gelenkt		verb	B2+	to steer, guide	направлять
vorbeikommen, kommt vorbei, kam vorbei, ist vorbeigekommen	vorbeikommen, kommt vorbei, kam vorbei, ist vorbeigekommen		verb	B2+	to pass	проходить
cool	cool		adj	B2+	cool	крутой
kleben, klebt, klebte, hat geklebt	kleben, klebt, klebte, hat geklebt		verb	B1	to stick	клеить
Unsicherheit	die Unsicherheit, -en		die	B2+	uncertainty	неуверенность
beinhalten, beinhaltet, beinhaltete, hat beinhaltet	beinhalten, beinhaltet, beinhaltete, hat beinhaltet		verb	B2+	to contain, include	содержать
Irak	Irak		der	B2+	Iraq	Ирак
virtuell	virtuell		adj	B1	virtual	виртуальный
Vorname	der Vorname, -n		der	A1	first name	имя
Zeitschrift	die Zeitschrift, -en		die	A2	magazine, journal	журнал
absetzen, setzt ab, setzte ab, hat abgesetzt	absetzen, setzt ab, setzte ab, hat abgesetzt		verb	B2+	to drop off, dismiss	высаживать
anführen, führt an, führte an, hat angeführt	anführen, führt an, führte an, hat angeführt		verb	B2+	to lead, command, quote	возглавлять
bestreiten, bestreitet, bestritt, hat bestritten	bestreiten, bestreitet, bestritt, hat bestritten		verb	B2+	to dispute	оспаривать
These	die These, -n		die	B2+	thesis	тезис
begehen, begeht, beging, hat begangen	begehen, begeht, beging, hat begangen		verb	B2+	to commit, make, celebrate	совершать
Besitz	der Besitz, -e		der	B2+	property, possession	имущество
etliche	etliche		pron	B2+	quite a few	несколько
Gläubiger	der Gläubiger, -		der	B2+	creditor, believer	кредитор
mitunter	mitunter		adv	B2+	from time to time	иногда; нет значения
rutschen, rutscht, rutschte, ist gerutscht	rutschen, rutscht, rutschte, ist gerutscht		verb	B2+	to slide	скользить
unzählig	unzählig		adj	B2+	countless	несметный
Zeug	das Zeug, -e		das	B1	stuff	вещь
Anfrage	die Anfrage, -n		die	B2+	inquiry, request	запрос
auswirken, wirkt aus, wirkte aus, hat ausgewirkt	auswirken (sich), wirkt aus, wirkte aus, hat ausgewirkt		verb	B2+	to have an effect	сказываться
effizient	effizient		adj	B2+	efficient	эффективный
erarbeiten, erarbeitet, erarbeitete, hat erarbeitet	erarbeiten, erarbeitet, erarbeitete, hat erarbeitet		verb	B2+	to work for/out	разрабатывать
Platte	die Platte, -n		die	B2+	disk, record, plate	блюдо
siehe	siehe		adv	B2+	see	см.
verheiratet	verheiratet		adj	A1	married	женатый
vorübergehen, geht vorüber, ging vorüber, ist vorübergegangen	vorübergehen, geht vorüber, ging vorüber, ist vorübergegangen		verb, adj	B2+	to pass by; temporary	проходить; временный
angucken, guckt an, guckte an, hat angeguckt	angucken, guckt an, guckte an, hat angeguckt (ankucken)		verb	B2+	to look	смотреть
diskret	diskret		adj	B2+	discreet, confidential	конфиденциальный
erstaunen, erstaunt, erstaunte, ist erstaunt	erstaunen, erstaunt, erstaunte, ist erstaunt		verb	B2+	to astonish	удивлять
Gymnasium	das Gymnasium, -en		das	B2+	secondary school	гимназия
isolieren, isoliert, isolierte, hat isoliert	isolieren, isoliert, isolierte, hat isoliert		verb	B2+	to isolate, insulate	изолировать
Mörder	der Mörder, -		der	B2+	murderer	убийца
erwachsen	erwachsen		adj	B2+	adult, grown-up	взрослый
ökologisch	ökologisch		adj	B2+	ecological, organic	экологический
problematisch	problematisch		adj	B2+	problematic	проблематичный
Substitution	die Substitution, -en		die	B2+	substitution, replacement	замена
Tipp	der Tipp, -s		der	A2	tip, hint	совет
auffordern, fordert auf, forderte auf, hat aufgefordert	auffordern, fordert auf, forderte auf, hat aufgefordert		verb	B2+	to ask, request	призывать
Hügel	der Hügel, -		der	B1	hill	холм
Kanton	der Kanton, -e		der	B2+	canton (Switzerland), province	кантон
Sachsen	Sachsen		das	B2+	Saxony	Саксония
schwanger	schwanger		adj	A2	pregnant	беременный
Status	der Status, -		der	B2+	status	статус
Stichwort	das Stichwort, -̈er		das	B2+	cue, key word	ключевое слово
Tempo	das Tempo, -i		das	B1	pace, speed	скорость
wunderschön	wunderschön		adj	B1	wonderful, lovely	прекрасный
grüßen, grüßt, grüßte, hat gegrüßt	grüßen, grüßt, grüßte, hat gegrüßt		verb	B1	to greet	здороваться
Weltmeister	der Weltmeister, -		der	B2+	world champion	чемпион мира
Duft	der Duft, -̈e		der	B2+	(pleasant) smell, fragrance	аромат
hinweg	hinweg		adv	B2+	(be) over, for (many years)	на протяжении
aufzeigen, zeigt auf, zeigte auf, hat aufgezeigt	aufzeigen, zeigt auf, zeigte auf, hat aufgezeigt		verb	B2+	to show, point out	указывать
ausstatten, stattet aus, stattete aus, hat ausgestattet	ausstatten, stattet aus, stattete aus, hat ausgestattet		verb	B2+	to furnish, provide	оснащать
Großmutter	die Großmutter, -̈		die	A1	grandmother	бабушка
Leidenschaft	die Leidenschaft, -en		die	B2+	passion	страсть
Parkplatz	der Parkplatz, -̈e		der	B2+	parking place	парковка
formen, formt, formte, hat geformt	formen, formt, formte, hat geformt		verb	B2+	to form	формировать
ha	ha		interj	B2+	ha	ха
Universitätsbibliothek	die Universitätsbibliothek, -en		die	B2+	university library	университетская библиотека
Zusammensetzung	die Zusammensetzung, -en		die	B2+	composition	состав
Ausführung	die Ausführung, -en		die	B2+	implementation, type	выполнение
geheim	geheim		adj	B1	secret	тайный
rechtzeitig	rechtzeitig		adj	B1	punctual, in time	своевременный
anwesend	anwesend		adj	B2+	present	присутствующий
brüllen, brüllt, brüllte, hat gebrüllt	brüllen, brüllt, brüllte, hat gebrüllt		verb	B2+	to bellow, roar, shout	орать
nass	nass		adj	A2	wet	мокрый
Quadratmeter	der Quadratmeter, -		der	B2+	square meter	квадратный метр
Turm	der Turm, -̈e		der	B1	tower	башня
Beschwerde	die Beschwerde, -n		die	B2+	complaint	жалоба
Gewissen	das Gewissen, -		das	B1	conscience	совесть
intelligent	intelligent		adj	A2	intelligent	умный
stehlen, stiehlt, stahl, hat gestohlen	stehlen, stiehlt, stahl, hat gestohlen		verb	B1	to steal	воровать
betreuen, betreut, betreute, hat betreut	betreuen, betreut, betreute, hat betreut		verb	B1	to look after, take care	опекать
Rahmenbedingung	die Rahmenbedingung, -en		die	B2+	prevailing condition	условие
Suizid	der Suizid, -e		der	B2+	suicide	самоубийство
benachbart	benachbart		adj	B2+	neighboring, adjacent	соседний
explizit	explizit		adj	B2+	explicit	явный
gegebenenfalls	gegebenenfalls		adv	B2+	if necessary	при необходимости
hintere	hintere (r, s)		adj	B2+	rear	задний
schwingen, schwingt, schwang, hat geschwungen	schwingen, schwingt, schwang, hat geschwungen		verb	B2+	to swing	качать
erleiden, erleidet, erlitt, hat erlitten	erleiden, erleidet, erlitt, hat erlitten		verb	B2+	to suffer	страдать
Export	der Export, -e		der	B1	export	экспорт
kehren, kehrt, kehrte, hat gekehrt	kehren, kehrt, kehrte, hat gekehrt		verb	B2+	to sweep	мести
Phantasie	die Phantasie, -n		die	B1	imagination, fantasy	фантазия
Verbrechen	das Verbrechen, -		das	B2+	crime	преступление
Aktivierung	die Aktivierung, -en		die	B2+	activation	активация
aussuchen, sucht aus, suchte aus, hat ausgesucht	aussuchen, sucht aus, suchte aus, hat ausgesucht		verb	B2+	to choose	выбирать
Dunkelheit	die Dunkelheit, -en		die	B2+	darkness	темнота
hauen, haut, haute, hat gehauen	hauen, haut, haute, hat gehauen		verb	B2+	to hit, hew, slap	бить
Stadion	das Stadion, -e		das	B1	stadium	стадион
Übertragung	die Übertragung, -en		die	B2+	transmission, broadcast	трансляция
Wasserstoff	der Wasserstoff		der	B2+	hydrogen	водород
Anblick	der Anblick, -e		der	B2+	sight	вид
ausscheiden, scheidet aus, schied aus, hat ausgeschieden	ausscheiden, scheidet aus, schied aus, hat ausgeschieden		verb	B2+	to leave, retire, be eliminated	выбывать
Durchschnitt	der Durchschnitt, -e		der	B1	average	среднее значение
Klima	das Klima, -s		das	B1	climate	климат
vergrößern, vergrößert, vergrößerte, hat vergrößert	vergrößern, vergrößert, vergrößerte, hat vergrößert		verb	B1	to increase, extend, enlarge	увеличивать
Grafik	die Grafik, -en		die	B1	graphic	график
Großteil	der Großteil, -e		der	B2+	large part, majority	большинство
Motivation	die Motivation, -en		die	B2+	motivation	мотивация
Software	die Software, -s		die	B2+	software	программное обеспечение
versammeln, versammelt, versammelte, hat versammelt	versammeln, versammelt, versammelte, hat versammelt		verb	B2+	to assemble, gather	собираться
wach	wach		adj	A2	awake	бодрствующий
Hass	der Hass		der	B2+	hatred	ненависть
strecken, streckt, streckte, hat gestreckt	strecken, streckt, streckte, hat gestreckt		verb	B2+	to stretch	вытягивать
telefonieren, telefoniert, telefonierte, hat telefoniert	telefonieren, telefoniert, telefonierte, hat telefoniert		verb	A1	to (make a telephone) call	звонить
ertragen, erträgt, ertrug, hat ertragen	ertragen, erträgt, ertrug, hat ertragen		verb	B2+	to bear	терпеть
Ferne	die Ferne, -n		die	B2+	distance	даль
Gelände	das Gelände, -		das	B2+	ground, site	территория
Grundstück	das Grundstück, -e		das	B1	plot of land	участок
wofür	wofür		pron	B2+	for what	для чего
jederzeit	jederzeit		adv	B1	anytime	всегда
neutral	neutral		adj	B2+	neutral	нейтральный
qualitativ	qualitativ		adj	B2+	qualitative	качественный
feucht	feucht		adj	B1	damp	влажный
Großvater	der Großvater, -̈		der	A1	grandfather	дедушка
Lunge	die Lunge, -n		die	B2+	lung	легкое
