Word	Annotation	Sense	Part of Speech	Level	Russian	English
Hoffnung	die Hoffnung, -en		die	B1	Надежда	hope
höflich	höflich		adj	B1	вежливый	polite
Höhe	die Höhe, -n		die	B1	высота	height, altitude
Höhepunkt	der Höhepunkt, -e		der	B2+	кульминация	highlight, peak
Höhle	die Höhle, -n		die	B2+	пещера	cave
holen, holt, holte, hat geholt	holen, holt, holte, hat geholt		verb	A1	принести	to get, fetch
Hölle	die Hölle, -n		die	B2+	ад	hell
Holz	das Holz, -̈er		das	B1	дерево	wood
homogen	homogen		adj	B2+	однородный	homogeneous
hören, hört, hörte, hat gehört	hören, hört, hörte, hat gehört		verb	A1	слышать	to hear
Hörer	der Hörer, -		der	B1	слушатель	listener, receiver
Horizont	der Horizont, -e		der	B2+	горизонт	horizon
horizontal	horizontal		adj	B2+	горизонтально	horizontal
Hormon	das Hormon, -e		das	B1	гормон	hormone
Hose	die Hose, -n		die	A2	брюки	trousers, pants
Hotel	das Hotel, -s		das	A1	отель	hotel
hübsch	hübsch		adj	B1	красивая	pretty
Hüfte	die Hüfte, -n		die	B2+	бедро	hip
Hügel	der Hügel, -		der	B1	холм	hill
Huhn	das Huhn, -̈er		das	B2+	курица	hen, chicken
humanitär	humanitär		adj	B2+	гуманитарный	humanitarian
Humor	der Humor, -e		der	B1	юмор	humor
Hund	der Hund, -e		der	A1	собака	dog
hundert	hundert		num	A1	сто	hundred
Hunderte	Hunderte		(pl)	B2+	сотни	hundreds
hunderttausend	hunderttausend		num	B2+	сто тысяч	hundred thousand
Hunger	der Hunger		der	A1	голод	hunger
Hut	der Hut, -̈e		der, die	B1	шляпа	hat; guard, alert
Hütte	die Hütte, -n		die	B1	Хижина	hut, cabin
Hypothese	die Hypothese, -n		die	B2+	гипотеза	hypothesis
ich	ich		pron	A1	я	I
ideal	ideal		adj	B1	идеальный	ideal
Idee	die Idee, -n		die	A2	идея	idea
identifizieren, identifiziert, identifizierte, hat identifiziert	identifizieren, identifiziert, identifizierte, hat identifiziert		verb	B1	идентифицировать	to identify
identisch	identisch		adj	B1	идентичный	identical
Identität	die Identität, -en		die	B1	идентичность	identity
Idiot	der Idiot, -en		der	B2+	идиот	idiot
ignorieren, ignoriert, ignorierte, hat ignoriert	ignorieren, ignoriert, ignorierte, hat ignoriert		verb	B2+	игнорировать	to ignore
ihm	ihm		pron	A1	он	him
ihn	ihn		pron	A1	он	him
ihnen	ihnen		pron, pron	A1	они	them; you
ihr	ihr		pron, pron, pron	A1	она	you, her; her, their, hers, theirs; your
illegal	illegal		adj	B1	незаконный	illegal
Illusion	die Illusion, -en		die	B2+	иллюзия	illusion
Image	das Image, -s		das	B2+	изображение	image
immer	immer		adv	A1	всегда	always
immerhin	immerhin		adv	A2	в конце концов	after all
Immunsystem	das Immunsystem, -e		das	B2+	иммунная система	immune system
Import	der Import, -e		der	B1	импорт	import
Impuls	der Impuls, -e		der	B1	импульс	stimulus, impulse
in	in		prep	A1	в	in
indem	indem		conj	B1	по	while, by
indes	indes		adv	B2+	однако	meanwhile
Index	der Index, -izes		der	B2+	индекс	index
Indien	Indien		das	B1	Индия	India
indirekt	indirekt		adj	B1	косвенно	indirect
indisch	indisch		adj, das	B2+	индийский	Indian; Indian
individuell	individuell		adj	B1	индивидуально	individual
Individuum	das Individuum, -en		das	B2+	индивидуальный	individual
Industrie	die Industrie, -n		die	B1	промышленность	industry
industriell	industriell		adj	B2+	промышленный	industrial
Infektion	die Infektion, -en		die	B1	инфекция	infection
Inflation	die Inflation, -en		die	B2+	инфляция	inflation
Inflationsrate	die Inflationsrate, -n		die	B2+	уровень инфляции	inflation rate
infolge	infolge		prep	B2+	в результате	as a result of
Informatik	die Informatik		die	B2+	информатика	computer science
Information	die Information, -en		die	A1	информация	information
Informationssystem	das Informationssystem, -e		das	B2+	информационная система	information system
informieren, informiert, informierte, hat informiert	informieren, informiert, informierte, hat informiert		verb	A2	информировать	to inform
Infrastruktur	die Infrastruktur, -en		die	B2+	инфраструктура	infrastructure
Ingenieur	der Ingenieur, -e		der	B1	инженер	engineer
Inhalt	der Inhalt, -e		der	B1	содержание	content, plot
inhaltlich	inhaltlich		adj	B2+	с точки зрения содержания	in terms of content
Initiative	die Initiative, -n		die	B1	инициатива	initiative
inklusive	inklusive		prep	B1	инклюзивный	including
inmitten	inmitten		adv	B2+	в середине	in the middle/midst of
innen	innen		adv	B1	внутри	inside
Innenminister	der Innenminister, -		der	B2+	министр внутренних дел	Minister of the Interior
Innenstadt	die Innenstadt, -̈e		die	B2+	центр города	town center, downtown
innere	innere (r, s)		adj	A2	внутренний	internal
innerhalb	innerhalb		prep	B1	внутри	within
Innovation	die Innovation, -en		die	B1	инновации	innovation
innovativ	innovativ		adj	B2+	инновационный	innovative
insbesondere	insbesondere		adv	A2	в частности	especially
Insekt	das Insekt, -en		das	B2+	насекомое	insect
Insel	die Insel, -n		die	A2	остров	island
insgesamt	insgesamt		adv	B1	в целом	in all, altogether, in total
insofern	insofern		adv	B1	в этом отношении	as far as that goes, insofar, therefore
Instanz	die Instanz, -en		die	B2+	экземпляр	instance
Institut	das Institut, -e		das	B1	институт	institute
Institution	die Institution, -en		die	B1	учреждение	institution
Instrument	das Instrument, -e		das	A2	инструмент	instrument
Insulin	das Insulin		das	B2+	Инсулин	insulin
inszenieren, inszeniert, inszenierte, hat inszeniert	inszenieren, inszeniert, inszenierte, hat inszeniert		verb	B2+	сцена	to stage
Inszenierung	die Inszenierung, -en		die	B2+	постановка	production, staging
Integration	die Integration, -en		die	B1	интеграция	integration
integrieren, integriert, integrierte, hat integriert	integrieren, integriert, integrierte, hat integriert		verb	B1	интегрировать	to integrate
intellektuell	intellektuell		adj	B2+	интеллектуальный	intellectual
intelligent	intelligent		adj	A2	умный	intelligent
Intelligenz	die Intelligenz, -en		die	B1	интеллект	intelligence
Intensität	die Intensität, -en		die	B2+	интенсивность	intensity
intensiv	intensiv		adj	B1	интенсивный	intensive
Interaktion	die Interaktion, -en		die	B2+	взаимодействие	interaction
interessant	interessant		adj	A2	интересно	interesting
Interesse	das Interesse, -n		das	A2	интерес	interest
interessieren, interessiert, interessierte, hat interessiert	interessieren, interessiert, interessierte, hat interessiert		verb	A2	заинтересовался	to interest
interkulturell	interkulturell		adj	B1	межкультурный	intercultural
intern	intern		adj	B1	внутренний	internal
international	international		adj	A1	международный	international
Internet	das Internet		das	A1	интернет	internet
Interpretation	die Interpretation, -en		die	B1	интерпретация	interpretation
interpretieren, interpretiert, interpretierte, hat interpretiert	interpretieren, interpretiert, interpretierte, hat interpretiert		verb	B1	интерпретировать	to interpret
Intervall	das Intervall, -e		das	B2+	интервал	interval
Interview	das Interview, -s		das	A2	интервью	interview
investieren, investiert, investierte, hat investiert	investieren, investiert, investierte, hat investiert		verb	B1	вложил	to invest
Investition	die Investition, -en		die	B1	инвестиции	investment
Investor	der Investor, -en		der	B1	инвестор	investor
inwieweit	inwieweit		adv	B2+	в какой степени	to what extent
inzwischen	inzwischen		adv	B1	тем временем	in the meantime
Ion	das Ion, -en		das	B1	ион	ion
Irak	Irak		der	B2+	Ирак	Iraq
Iran	Iran		der	B2+	Иран	Iran
irgend	irgend		adv	B1	любой	some
irgendein	irgendein		pron	B1	любой	some, any
irgendetwas, irgendwas	irgendetwas, irgendwas		pron	B1	что-то	something, anything
irgendjemand	irgendjemand		pron	B2+	кто-нибудь	someone, anyone
irgendwann	irgendwann		adv	B1	в какой-то момент	sometime, some day
irgendwelche	irgendwelche (r, s)		pron	B1	любой	some, any
irgendwie	irgendwie		adv	A2	как-то	somehow
irgendwo	irgendwo		adv	A2	где-то	somewhere
Irland	Irland		das	B2+	Ирландия	Ireland
Ironie	die Ironie, -n		die	B1	ирония	irony
ironisch	ironisch		adj	B2+	ироничный	ironic
irren, irrt, irrte, hat geirrt	irren (sich), irrt, irrte, hat geirrt		verb	B1	ошибаюсь	to err, be wrong
irritieren, irritiert, irritierte, hat irritiert	irritieren, irritiert, irritierte, hat irritiert		verb	B2+	раздражать	to irritate, confuse
Irrtum	der Irrtum, -̈er		der	B2+	ошибка	error, misconception
Islam	der Islam, -e		der	B2+	ислам	Islam
islamisch	islamisch		adj	B2+	исламский	Islamic
Island	Island		das	B1	Исландия	Iceland
isolieren, isoliert, isolierte, hat isoliert	isolieren, isoliert, isolierte, hat isoliert		verb	B2+	изолировать	to isolate, insulate
Isotop	das Isotop, -e		das	B2+	изотоп	isotope
Israel	Israel		das	B1	Израиль	Israel
israelisch	israelisch		adj	B2+	израильский	Israeli
Italien	Italien		das	B1	Италия	Italy
Italiener	der Italiener, -		der	B2+	итальянцы	Italian
italienisch	italienisch		adj, das	B1	итальянский	Italian; Italian
ja	ja		part	A1	да	yes, of course
Jacke	die Jacke, -n		die	A1	куртка	jacket
Jagd	die Jagd, -en		die	B2+	охота	hunt, chase
jagen, jagt, jagte, hat gejagt	jagen, jagt, jagte, hat gejagt		verb	B2+	охота	to hunt
Jäger	der Jäger, -		der	B2+	охотник	hunter
Jahr	das Jahr, -e		das	A1	год	year
jahrelang	jahrelang		adj	B1	в течение многих лет	many years, for years
Jahreszeit	die Jahreszeit, -en		die	B2+	сезон	season
Jahrhundert	das Jahrhundert, -e		das	A2	век	century
-jährig	-jährig		adj	B1	-год	years (old)
jährlich	jährlich		adj	B1	ежегодно	annual
Jahrzehnt	das Jahrzehnt, -e		das	B1	десятилетие	decade
Januar	der Januar, -e		der	B1	январь	January
Japan	Japan		das	B1	Япония	Japan
japanisch	japanisch		adj, das	B2+	японский	Japanese; Japanese
je	je		adv, conj	B1	когда-либо	ever, each; the more
Jeans	die Jeans, -		die	A2	джинсы	jeans
jede	jede (r, s)		pron	A1	каждый	every
jedenfalls	jedenfalls		adv	A2	в любом случае	in any case
jederzeit	jederzeit		adv	B1	в любое время	anytime
jedoch	jedoch		adv	B1	однако	however
jegliche	jegliche (r, s)		pron	B2+	любой	any
jemals	jemals		adv	B1	когда-либо	ever
jemand	jemand		pron	A2	кто-то	someone, somebody
jene	jene (r, s)		pron	A1	те	that, those
jenseits	jenseits		prep	B2+	за пределами	beyond
jetzig	jetzig		adj	B2+	в настоящее время	current
jetzt	jetzt		adv	A1	сейчас	now
jeweilig	jeweilig		adj	B1	соответственно	particular, respective
jeweils	jeweils		adv	B1	каждый	each, each time
Job	der Job, -s		der	A1	работа	job
Journalist	der Journalist, -en		der	B1	журналист	journalist
Jude	der Jude, -n		der	B1	еврей	Jew
jüdisch	jüdisch		adj	B1	еврейский	Jewish
Jugend	die Jugend		die	B1	молодежь	youth
jugendlich	jugendlich		adj	B2+	молодой	youthful
Jugendliche	die Jugendliche		der, die	A1	подростки	adolescent
Juli	der Juli, -s		der	B1	июль	July
jung	jung		adj	A1	молодой	young
Junge	der Junge, -n		der	A1	мальчик	boy
Jungfrau	die Jungfrau, -en		die	B2+	Дева	virgin
jüngst	jüngst		adv	B2+	недавно	recent
Juni	der Juni, -s		der	B1	июнь	June
Jurist	der Jurist, -en		der	B2+	адвокат	jurist, lawyer
juristisch	juristisch		adj	B2+	юридический	legal, juridical
Jury	die Jury, -s		die	B2+	жюри	jury
Justiz	die Justiz		die	B2+	правосудие	judiciary
Kabine	die Kabine, -n		die	B1	каюта	cabin, booth
Kaffee	der Kaffee, -s		der	A1	кофе	coffee
Kaiser	der Kaiser, -		der	B2+	император	emperor
kalt	kalt		adj	A2	холодный	cold
Kälte	die Kälte		die	B1	холодный	cold
Kamera	die Kamera, -s		die	A2	камера	camera
Kammer	die Kammer, -n		die	B2+	палата	chamber, (small) room
Kampagne	die Kampagne, -n		die	B2+	кампания	campaign
Kampf	der Kampf, -̈e		der	B1	сражаться	fight, struggle
kämpfen, kämpft, kämpfte, hat gekämpft	kämpfen, kämpft, kämpfte, hat gekämpft		verb	B1	драться	to fight
Kämpfer	der Kämpfer, -		der	B2+	боец	fighter, combatant
Kanada	Kanada		das	B2+	Канада	Canada
Kanal	der Kanal, -̈e		der	B1	канал	canal, channel
Kandidat	der Kandidat, -en		der	B1	кандидат	candidate
Kante	die Kante, -n		die	B2+	край	edge
Kanton	der Kanton, -e		der	B2+	кантон	canton (Switzerland), province
Kanzler	der Kanzler, -		der	B1	канцлер	chancellor
Kapazität	die Kapazität, -en		die	B2+	емкость	capacity
Kapital	das Kapital, -e		das	B1	столица	capital
Kapitän	der Kapitän, -e		der	B2+	капитан	captain
Kapitel	das Kapitel, -		das	B1	глава	chapter
kaputt	kaputt		adj	A1	сломанный	broken, ruined
Karriere	die Karriere, -n		die	B1	карьера	career
Karte	die Karte, -n		die	A1	карта	card, ticket, menu
Kartoffel	die Kartoffel, -n		die	A1	картошка	potato
Käse	der Käse, -		der	A2	сыр	cheese
Kasse	die Kasse, -n		die	A1	оформить заказ	cash register, checkout
kassieren, kassiert, kassierte, hat kassiert	kassieren, kassiert, kassierte, hat kassiert		verb	B2+	наличные	to collect, take the money
Kasten	der Kasten, -̈		der	B1	коробка	box, crate
Katalysator	der Katalysator, -en		der	B2+	катализатор	catalyst
Katastrophe	die Katastrophe, -n		die	B1	катастрофа	catastrophe
Kategorie	die Kategorie, -n		die	B1	категория	category
katholisch	katholisch		adj	B2+	католик	Catholic
Katze	die Katze, -n		die	A2	кот	cat
Kauf	der Kauf, -̈e		der	B1	покупка	purchase
kaufen, kauft, kaufte, hat gekauft	kaufen, kauft, kaufte, hat gekauft		verb	A1	купить	to buy
Käufer	der Käufer, -		der	B1	покупатель	buyer
kaum	kaum		adv	B1	вряд ли	hardly
kehren, kehrt, kehrte, hat gekehrt	kehren, kehrt, kehrte, hat gekehrt		verb	B2+	подметать	to sweep
kein	kein		pron	A1	нет	no
keinerlei	keinerlei		pron	B2+	ничего вообще	no . . . at all
keineswegs	keineswegs		adv	B2+	ни в коем случае	by no means, not at all
Keks	der Keks, -		der	B2+	печенье	cookie
Keller	der Keller, -		der	A2	подвал	cellar
Kellner	der Kellner, -		der	B1	официант	waiter, waitress
kennen, kennt, kannte, hat gekannt	kennen, kennt, kannte, hat gekannt		verb	A1	знаю	to know
kennenlernen, lernt kennen, lernte kennen, hat kennengelernt	kennenlernen, lernt kennen, lernte kennen, hat kennengelernt		verb	A1	познакомимся	to meet, get to know
Kenntnis	die Kenntnis, -se		die	B1	знания	knowledge
kennzeichnen, kennzeichnet, kennzeichnete, hat gekennzeichnet	kennzeichnen, kennzeichnet, kennzeichnete, hat gekennzeichnet		verb	B1	отметка	to characterize, mark
Kerl	der Kerl, -e		der	B2+	парень	fellow, bloke
Kern	der Kern, -e		der	B1	ядро	seed, core, nucleus
Kerze	die Kerze, -n		die	B1	свеча	candle
Kette	die Kette, -n		die	A2	цепь	chain
Kilogramm, kg	Kilogramm, kg		das	B1	килограмм	kilogram
Kilometer	der Kilometer, -		der	A2	километры	kilometer
Kind	das Kind, -er		das	A1	ребенок	child
Kindergarten	der Kindergarten, -̈		der	A1	детский сад	nursery school, kindergarten
Kindheit	die Kindheit		die	B1	детство	childhood
kinetisch	kinetisch		adj	B2+	кинетический	kinetic
Kinn	das Kinn, -e		das	B2+	подбородок	chin
Kino	das Kino, -s		das	A1	кино	cinema, movie theater
kippen, kippt, kippte, hat gekippt	kippen, kippt, kippte, hat gekippt		verb	B2+	наклон	to tilt, overbalance
Kirche	die Kirche, -n		die	A2	церковь	church
Kissen	das Kissen, -		das	B1	подушка	pillow, cushion
Kiste	die Kiste, -n		die	B1	коробка	box, crate
Klage	die Klage, -n		die	B2+	иск	complaint, lawsuit
klagen, klagt, klagte, hat geklagt	klagen, klagt, klagte, hat geklagt		verb	B1	подавать в суд	to complain
Klang	der Klang, -̈e		der	B2+	звук	sound, tone
klappen, klappt, klappte, hat geklappt	klappen, klappt, klappte, hat geklappt		verb	A2	работал	to fold, go smoothly, work (out)
klar	klar		adj	A1	ясно	clear
klären, klärt, klärte, hat geklärt	klären, klärt, klärte, hat geklärt		verb	B1	прояснить	to clear up, clarify, resolve
Klasse	die Klasse, -n		die	A1	класс	class, classroom, grade
klassisch	klassisch		adj	A2	классический	classical
klatschen, klatscht, klatschte, hat geklatscht	klatschen, klatscht, klatschte, hat geklatscht		verb	B2+	хлопать	to clap
klauen, klaut, klaute, hat geklaut	klauen, klaut, klaute, hat geklaut		verb	B2+	украсть	to steal, shoplift
Klausur	die Klausur, -en		die	B1	экзамен	exam
Klavier	das Klavier, -e		das	A2	Фортепиано	piano
kleben, klebt, klebte, hat geklebt	kleben, klebt, klebte, hat geklebt		verb	B1	приклеить	to stick
Kleid	das Kleid, -er		das	A2	платье	dress
kleiden, kleidet, kleidete, hat gekleidet	kleiden, kleidet, kleidete, hat gekleidet		verb	B2+	одеть	to dress
Kleidung	die Kleidung, -en		die	A1	одежда	clothes
klein	klein		adj	A1	маленький	small, little
klettern, klettert, kletterte, ist geklettert	klettern, klettert, kletterte, ist geklettert		verb	B1	лезть	to climb
Klima	das Klima, -s		das	B1	климат	climate
Klimawandel	der Klimawandel, -		der	B2+	изменение климата	climate change
klingeln, klingelt, klingelte, hat geklingelt	klingeln, klingelt, klingelte, hat geklingelt		verb	B1	звонил	to ring
klingen, klingt, klang, hat geklungen	klingen, klingt, klang, hat geklungen		verb	B1	звук	to sound
Klinik	die Klinik, -en		die	B1	клиника	clinic, hospital
klinisch	klinisch		adj	B2+	клинический	clinical
Klo	das Klo, -s		das	B2+	лоо	toilet, john
klopfen, klopft, klopfte, hat geklopft	klopfen, klopft, klopfte, hat geklopft		verb	B1	стучать	to knock, beat
Kloster	das Kloster, -̈		das	B2+	монастырь	monastery, convent
klug	klug		adj	A2	умный	clever
knacken, knackt, knackte, hat geknackt	knacken, knackt, knackte, hat geknackt		verb	B2+	трещина	to crack
Knall	der Knall, -e		der	B2+	взрыв	bang
knapp	knapp		adj	B1	скудный	scarce, slim
Kneipe	die Kneipe, -n		die	B1	паб	pub, bar
Knie	das Knie, -		das	B1	колени	knee
Knochen	der Knochen, -		der	B1	кости	bone
Knopf	der Knopf, -̈e		der	B1	кнопка	button
knüpfen, knüpft, knüpfte, hat geknüpft	knüpfen, knüpft, knüpfte, hat geknüpft		verb	B2+	галстук	to tie, knot, establish
Koalition	die Koalition, -en		die	B1	коалиция	coalition
Koch	der Koch, -̈e		der	B1	Кук	cook
kochen, kocht, kochte, hat gekocht	kochen, kocht, kochte, hat gekocht		verb	A1	готовить	to cook
Koffer	der Koffer, -		der	A1	чемодан	suitcase
kognitiv	kognitiv		adj	B2+	познавательный	cognitive
Kohle	die Kohle, -n		die	B2+	уголь	coal
Kohlenstoff	der Kohlenstoff		das	B2+	углерод	carbon
Kohlenstoffdioxid	das Kohlenstoffdioxid		das	B1	углекислый газ	carbon dioxide
Kollege	der Kollege, -n		der	A1	коллега	colleague
kollektiv	kollektiv		adj	B2+	коллективный	collective
Kölner	Kölner		adj	B2+	кёльн	Cologne
Kombination	die Kombination, -en		die	B1	комбинация	combination
kombinieren, kombiniert, kombinierte, hat kombiniert	kombinieren, kombiniert, kombinierte, hat kombiniert		verb	B2+	совместить	to combine
komisch	komisch		adj	A2	смешно	funny
kommen, kommt, kam, ist gekommen	kommen, kommt, kam, ist gekommen		verb	A1	пришёл	to come
Kommentar	der Kommentar, -e		der	B2+	комментарий	comment, opinion
kommentieren, kommentiert, kommentierte, hat kommentiert	kommentieren, kommentiert, kommentierte, hat kommentiert		verb	B2+	комментировать	to comment
Kommission	die Kommission, -en		die	B2+	комиссия	commission, committee
kommunal	kommunal		adj	B2+	муниципальный	municipal
Kommune	die Kommune, -n		die	B1	коммуна	municipality, local authority
Kommunikation	die Kommunikation, -en		die	B1	общение	communication
kommunikativ	kommunikativ		adj	B2+	коммуникативный	communicative
kommunizieren, kommuniziert, kommunizierte, hat kommuniziert	kommunizieren, kommuniziert, kommunizierte, hat kommuniziert		verb	B2+	общаться	to communicate
Kompetenz	die Kompetenz, -en		die	B2+	компетентность	competence, authority
komplett	komplett		adj	B1	полный	complete
Komplex	der Komplex, -e		der	B2+	комплекс	complex
komplex	komplex		adj	A2	сложный	complex
kompliziert	kompliziert		adj	B1	сложный	complicated
Komponente	die Komponente, -n		die	B1	компонент	component
Komponist	der Komponist, -en		der	B2+	композитор	composer
Kompromiss	der Kompromiss, -e		der	B1	компромисс	compromise
Konferenz	die Konferenz, -en		die	B1	конференция	conference
Konflikt	der Konflikt, -e		der	B1	конфликт	conflict
konfrontieren, konfrontiert, konfrontierte, hat konfrontiert	konfrontieren, konfrontiert, konfrontierte, hat konfrontiert		verb	B2+	противостоять	to confront
Kongress	der Kongress, -e		der	B2+	Конгресс	congress, convention
König	der König, -e		der	B1	король	king
königlich	königlich		adj	B2+	королевский	royal
Konjunktur	die Konjunktur, -en		die	B2+	экономическая ситуация	economy, economic situation
konkret	konkret		adj	A2	бетон	concrete
Konkurrent	der Konkurrent, -en		der	B2+	конкурент	competitor
Konkurrenz	die Konkurrenz, -en		die	B1	конкуренция	competition
können, kann, konnte, hat können	können, kann, konnte, hat können		verb	A1	может	to be able to, can
konsequent	konsequent		adj	B2+	последовательно	consistent
Konsequenz	die Konsequenz, -en		die	B1	последствие	consequence
konservativ	konservativ		adj	B2+	консервативный	conservative
konstant	konstant		adj	B1	постоянный	constant
Konstante	die Konstante, -n		die	B2+	константа	constant
konstruieren, konstruiert, konstruierte, hat konstruiert	konstruieren, konstruiert, konstruierte, hat konstruiert		verb	B2+	соорудить	to construct
Konstruktion	die Konstruktion, -en		die	B2+	строительство	construction, design
konstruktiv	konstruktiv		adj	B2+	конструктивный	constructive
Konsum	der Konsum		der	B1	потребление	consumption
Konsument	der Konsument, -en		der	B1	потребитель	consumer
konsumieren, konsumiert, konsumierte, hat konsumiert	konsumieren, konsumiert, konsumierte, hat konsumiert		verb	B1	потреблять	to consume
Kontakt	der Kontakt, -e		der	A2	контакт	contact
Kontext	der Kontext, -e		der	B1	контекст	context
Kontinent	der Kontinent, -e		der	B2+	континент	continent
kontinuierlich	kontinuierlich		adj	B2+	постоянно	constant, continuous
Konto	das Konto, -en		das	A1	счет	account
Kontrolle	die Kontrolle, -n		die	B1	контроль	inspection, control
kontrollieren, kontrolliert, kontrollierte, hat kontrolliert	kontrollieren, kontrolliert, kontrollierte, hat kontrolliert		verb	A2	контролировать	to check, control
konventionell	konventionell		adj	B2+	обычный	conventional
Konzentration	die Konzentration, -en		die	B1	концентрация	concentration
konzentrieren, konzentriert, konzentrierte, hat konzentriert	konzentrieren, konzentriert, konzentrierte, hat konzentriert		verb	B1	сконцентрироваться	to concentrate
Konzept	das Konzept, -e		das	B1	концепция	concept, idea, plan
Konzern	der Konzern, -e		der	B1	группа	corporation
Konzert	das Konzert, -e		das	A2	концерт	concert
Kooperation	die Kooperation, -en		die	B2+	сотрудничество	cooperation
Koordination	die Koordination, -en		die	B1	координация	coordination
Kopf	der Kopf, -̈e		der	A1	голова	head
Kopie	die Kopie, -n		die	B1	копировать	copy
koppeln, koppelt, koppelte, hat gekoppelt	koppeln, koppelt, koppelte, hat gekoppelt		verb	B2+	пара	to couple, link
Korb	der Korb, -̈e		der	B2+	корзина	basket
Körper	der Körper, -		der	A2	тело	body
körperlich	körperlich		adj	B1	физический	physical
korrekt	korrekt		adj	B1	правильный	correct
Korrektur	die Korrektur, -en		die	B2+	коррекция	correction, adjustment
korrigieren, korrigiert, korrigierte, hat korrigiert	korrigieren, korrigiert, korrigierte, hat korrigiert		verb	B1	правильно	to correct, revise
Kosten	Kosten		die (pl)	A1	затраты	costs, expenses
kosten, kostet, kostete, hat gekostet	kosten, kostet, kostete, hat gekostet		verb	A1	стоимость	to cost
kostenlos	kostenlos		adj	A2	бесплатно	free (of charge)
Kraft	die Kraft, -̈e		die	B1	сила	strength, power
kräftig	kräftig		adj	B1	сильный	strong
Kraftwerk	das Kraftwerk, -e		das	B1	электростанция	power plant
krank	krank		adj	A1	больной	sick, ill
Krankenhaus	das Krankenhaus, -̈er		das	A2	больница	hospital
Krankheit	die Krankheit, -en		die	A2	болезнь	illness, disease
kreativ	kreativ		adj	B1	творческий	creative
Kreativität	die Kreativität		die	B2+	творчество	creativity
Krebs	der Krebs, -e		der	B2+	рак	cancer
Kredit	der Kredit, -e		der	A2	кредит	loan, credit
Kreis	der Kreis, -e		der	B1	круг	circle, district
kreisen, kreist, kreiste, ist gekreist	kreisen, kreist, kreiste, ist gekreist		verb	B2+	кружится	to circle
Kreislauf	der Kreislauf, -̈e		der	B2+	тираж	circulation
Kreuz	das Kreuz, -e		das	B1	крест	cross
kreuzen, kreuzt, kreuzte, hat gekreuzt	kreuzen, kreuzt, kreuzte, hat gekreuzt		verb	B2+	крест	to cross
Kreuzung	die Kreuzung, -en		die	A2	пересечение	intersection
kriechen, kriecht, kroch, ist gekrochen	kriechen, kriecht, kroch, ist gekrochen		verb	B2+	ползти	to crawl
Krieg	der Krieg, -e		der	B1	война	war
kriegen, kriegt, kriegte, hat gekriegt	kriegen, kriegt, kriegte, hat gekriegt		verb	A1	получить	to get, receive
kriminell	kriminell		adj	B2+	преступник	criminal
Krise	die Krise, -n		die	B1	кризис	crisis
Kristall	der Kristall, -e		der	B2+	кристалл	crystal
Kriterium	das Kriterium, -en		das	B1	критерий	criterion
Kritik	die Kritik, -en		die	B1	критика	criticism, review
Kritiker	der Kritiker, -		der	B2+	критик	critic
kritisch	kritisch		adj	B1	критический	critical
kritisieren, kritisiert, kritisierte, hat kritisiert	kritisieren, kritisiert, kritisierte, hat kritisiert		verb	B1	критиковать	to criticize
Krone	die Krone, -n		die	B2+	корона	crown
Kuba	Kuba		das	B2+	куба	Cuba
Küche	die Küche, -n		die	A1	кухня	kitchen, cuisine
Kuchen	der Kuchen, -		der	A1	торт	cake
Kugel	die Kugel, -n		die	B1	мяч	ball, sphere, bullet
Kuh	die Kuh, -̈e		die	B2+	корова	cow
kühl	kühl		adj	A2	круто	cool
Kühlschrank	der Kühlschrank, -̈e		der	A1	холодильник	fridge
Kulisse	die Kulisse, -n		die	B2+	фон	setting, scenery, backdrop
Kultur	die Kultur, -en		die	A2	культура	culture
kulturell	kulturell		adj	A1	культурный	cultural
Kulturstaatsminister	der Kulturstaatsminister, -		der	B2+	государственный министр культуры	minister of culture
kümmern, kümmert, kümmerte, hat gekümmert	kümmern (sich), kümmert, kümmerte, hat gekümmert		verb	A1	позаботиться	to take care of, be concerned
Kumpel	der Kumpel, -		der	B2+	приятель	pal
Kunde	der Kunde, -n		der	A1	клиент	customer, client
kündigen, kündigt, kündigte, hat gekündigt	kündigen, kündigt, kündigte, hat gekündigt		verb	A2	бросить	to terminate
Kündigung	die Kündigung, -en		die	B1	прекращение действия	termination, cancellation, notice
künftig	künftig		adj	A2	будущее	future
Kunst	die Kunst, -̈e		die	A2	искусство	art
Künstler	der Künstler, -		der	B1	художник	artist
künstlerisch	künstlerisch		adj	B1	художественный	artistic
künstlich	künstlich		adj	B1	искусственный	artificial
Kunstwerk	das Kunstwerk, -e		das	B2+	произведение искусства	work of art
Kupfer	das Kupfer, -		das	B2+	Медь	copper
Kurs	der Kurs, -e		der	A1	курс	course, exchange rate
Kurve	die Kurve, -n		die	B1	кривая	curve, turn
kurz	kurz		adj	A1	короткий	short
kurzfristig	kurzfristig		adj	B1	краткосрочный срок	at short notice
kürzlich	kürzlich		adv	B1	недавно	recently
küssen, küsst, küsste, hat geküsst	küssen, küsst, küsste, hat geküsst		verb	B1	поцелуй	to kiss
Küste	die Küste, -n		die	B1	побережье	coast
Labor	das Labor, -e		das	B2+	лаборатория	laboratory
lächeln, lächelt, lächelte, hat gelächelt	lächeln, lächelt, lächelte, hat gelächelt		verb, das	B1	улыбка	to smile; smile
lachen, lacht, lachte, hat gelacht	lachen, lacht, lachte, hat gelacht		verb	A1	смеяться	to laugh
lächerlich	lächerlich		adj	B2+	смешно	ridiculous
